company,data,updated_at
heng,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/heng"", ""ICPMarketingSignal"": ""Tech Startup"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""heng"", ""email"": """"}",2026-05-11T13:10:21.810620
elshairconfidenza,"{""ICPIndustry"": ""Beauty & Personal Care"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""500K"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""elshairconfidenza"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/elshairconfidenza"", ""ICPMarketingSignal"": ""Instagram influencer collaborations"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""elshairconfidenza"", ""email"": """"}",2026-05-11T13:10:23.544008
pt kalla inti karsa,"{""ICPIndustry"": ""Manufacturing"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""PT Kalla Inti Karsa"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/pt-kalla-inti-karsa"", ""ICPMarketingSignal"": ""Regional manufacturing operations"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""pt kalla inti karsa"", ""email"": """"}",2026-05-11T13:10:25.378059
kobayashi healthcare australia,"{""ICPIndustry"": ""Healthcare"", ""ICPEmployeesRange"": ""51-200"", ""ICPRevenueUSD"": ""5M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Kobayashi Healthcare"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/kobayashi-healthcare-australia"", ""ICPMarketingSignal"": ""Healthcare Australia presence"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""kobayashi healthcare australia"", ""email"": """"}",2026-05-11T13:10:28.655883
breathe more,"{""ICPIndustry"": ""Health & Wellness"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""500K"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Independent"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/breathe-more"", ""ICPMarketingSignal"": ""Health & Wellness Campaigns"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""breathe more"", ""email"": """"}",2026-05-11T13:10:49.635570
tüv süd (thailand) limited,"{""ICPIndustry"": ""Testing and Certification"", ""ICPEmployeesRange"": ""100-500"", ""ICPRevenueUSD"": ""50M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""T\u00dcV S\u00dcD AG"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/t%C3%BCv-s%C3%BCd-thailand-limited"", ""ICPMarketingSignal"": ""ISO Certification Services"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""t\u00fcv s\u00fcd (thailand) limited"", ""email"": """"}",2026-05-11T13:10:51.601760
hiringheroes.ai,"{""ICPIndustry"": ""Human Resources"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Hiring Heroes Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/hiringheroes-ai"", ""ICPMarketingSignal"": ""AI-driven recruitment platform"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""hiringheroes.ai"", ""email"": """"}",2026-05-11T13:10:53.414875
denave,"{""ICPIndustry"": ""Information Technology and Services"", ""ICPEmployeesRange"": ""50-200"", ""ICPRevenueUSD"": ""10M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/denave"", ""ICPMarketingSignal"": ""Active digital marketing campaigns"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""denave"", ""email"": """"}",2026-05-11T13:10:55.904311
mqjc,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""mqjc"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/mqjc"", ""ICPMarketingSignal"": ""Tech Startup"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""mqjc"", ""email"": """"}",2026-05-11T13:10:57.863551
star light furnishings,"{""ICPIndustry"": ""Furniture"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""500K"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/starlightfurnishings"", ""ICPMarketingSignal"": ""Online furniture store"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""star light furnishings"", ""email"": """"}",2026-05-11T13:10:59.636224
ferolli,"{""ICPIndustry"": ""Manufacturing"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Ferolli"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/ferolli"", ""ICPMarketingSignal"": ""Brand recognition in home appliances"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""ferolli"", ""email"": """"}",2026-05-11T13:11:01.990484
town health,"{""ICPIndustry"": ""Healthcare"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""500K"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Town Health"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/town-health"", ""ICPMarketingSignal"": ""Local healthcare provider"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""town health"", ""email"": """"}",2026-05-11T13:11:04.007401
mallick ventures,"{""ICPIndustry"": ""Financial Services"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Mallick Ventures"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/mallick-ventures"", ""ICPMarketingSignal"": ""Active online presence and recent funding announcement"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""mallick ventures"", ""email"": """"}",2026-05-11T13:11:06.001560
a-leagues,"{""ICPIndustry"": ""Sports & Recreation"", ""ICPEmployeesRange"": ""51-200"", ""ICPRevenueUSD"": ""10M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Australian Football League"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/a-leagues/"", ""ICPMarketingSignal"": ""Official sports league"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""a-leagues"", ""email"": """"}",2026-05-11T13:11:07.879653
eluckygame technology asia,"{""ICPIndustry"": ""Gaming"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""eluckygame"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/eluckygame-technology-asia"", ""ICPMarketingSignal"": ""Mobile gaming app launch"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""eluckygame technology asia"", ""email"": """"}",2026-05-11T13:11:10.035119
pt . kazee digital indonesia,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""500K"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Kazee Digital Indonesia"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/kazee-digital-indonesia"", ""ICPMarketingSignal"": ""Digital marketing agency"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""pt . kazee digital indonesia"", ""email"": """"}",2026-05-11T13:11:11.786731
mediheal global,"{""ICPIndustry"": ""Healthcare"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Mediheal Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/mediheal-global"", ""ICPMarketingSignal"": ""Skincare product launches"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""mediheal global"", ""email"": """"}",2026-05-11T13:11:15.263780
vizrova marketing,"{""ICPIndustry"": ""Marketing"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Vizrova Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/vizrova-marketing"", ""ICPMarketingSignal"": ""Active social media presence"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""vizrova marketing"", ""email"": """"}",2026-05-11T13:11:19.167064
desai jeweller's pvt. ltd.,"{""ICPIndustry"": ""Retail Jewelry"", ""ICPEmployeesRange"": ""50-200"", ""ICPRevenueUSD"": ""5M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Desai Jewellers Pvt. Ltd."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/desai-jewellers-pvt-ltd"", ""ICPMarketingSignal"": ""Brand recognition in local markets"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""desai jeweller's pvt. ltd."", ""email"": """"}",2026-05-11T13:11:21.169956
expandasign limited,"{""ICPIndustry"": ""Marketing"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""500K"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Expandasign Limited"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/expandasign-limited"", ""ICPMarketingSignal"": ""Active online presence and recent marketing campaigns"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""expandasign limited"", ""email"": """"}",2026-05-11T13:11:22.948925
cty tnhh s?n toa vi?t nam,"{""ICPIndustry"": ""Manufacturing"", ""ICPEmployeesRange"": ""100-500"", ""ICPRevenueUSD"": ""10M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Vietnamese Manufacturing Group"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/vietnamese-manufacturing-group"", ""ICPMarketingSignal"": ""Industry trade shows, manufacturing certifications"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""cty tnhh s?n toa vi?t nam"", ""email"": """"}",2026-05-11T13:11:24.801380
lloyds luxuries ltd,"{""ICPIndustry"": ""Retail"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""5M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Lloyds Luxuries Ltd"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/lloyds-luxuries-ltd"", ""ICPMarketingSignal"": ""Luxury retail presence"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""lloyds luxuries ltd"", ""email"": """"}",2026-05-11T13:11:26.830029
jll,"{""ICPIndustry"": ""Real Estate"", ""ICPEmployeesRange"": ""10,001-50,000"", ""ICPRevenueUSD"": ""4.8B"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Jones Lang LaSalle Incorporated"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/jll/"", ""ICPMarketingSignal"": ""Global real estate services"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""jll"", ""email"": """"}",2026-05-11T13:11:28.548544
zestdhan,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""ZestDhan Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/zestdhan"", ""ICPMarketingSignal"": ""Tech Startup"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""zestdhan"", ""email"": """"}",2026-05-11T13:11:30.665500
casagrand,"{""ICPIndustry"": ""Construction"", ""ICPEmployeesRange"": ""501-1000"", ""ICPRevenueUSD"": ""50M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/casagrand"", ""ICPMarketingSignal"": ""Brand recognition in residential construction"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""casagrand"", ""email"": """"}",2026-05-11T13:11:51.695420
cara markets,"{""ICPIndustry"": ""Marketing"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Cara Markets Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/cara-markets"", ""ICPMarketingSignal"": ""Active digital marketing campaigns"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""cara markets"", ""email"": """"}",2026-05-11T13:11:54.257771
benetton india pvt ltd,"{""ICPIndustry"": ""Apparel"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""5M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Benetton Group"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/benetton-india-pvt-ltd"", ""ICPMarketingSignal"": ""Brand presence in India"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""benetton india pvt ltd"", ""email"": """"}",2026-05-11T13:11:56.289375
raasa studio,"{""ICPIndustry"": ""Media"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""500K"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Independent"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/raasa-studio"", ""ICPMarketingSignal"": ""Creative portfolio"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""raasa studio"", ""email"": """"}",2026-05-11T13:11:58.159046
baeru,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/baeru"", ""ICPMarketingSignal"": ""Tech startup with innovative SaaS platform"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""baeru"", ""email"": """"}",2026-05-11T13:12:00.018892
kidspot | foodspot,"{""ICPIndustry"": ""Food & Beverage"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/kidspot"", ""ICPMarketingSignal"": ""Parent brand recognition in parenting and family segments"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""kidspot | foodspot"", ""email"": """"}",2026-05-11T13:12:02.572348
cordest forone,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Cordest Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/cordest-inc"", ""ICPMarketingSignal"": ""Tech startup"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""cordest forone"", ""email"": """"}",2026-05-11T13:12:04.512943
pt frontier sentratama indonesia,"{""ICPIndustry"": ""Manufacturing"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""PT Frontier Sentratama Indonesia"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/pt-frontier-sentratama-indonesia"", ""ICPMarketingSignal"": ""Industry trade show participation"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""pt frontier sentratama indonesia"", ""email"": """"}",2026-05-11T13:12:06.877047
infiniti research ltd.,"{""ICPIndustry"": ""Market Research"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Infiniti Research Ltd."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/infiniti-research-ltd"", ""ICPMarketingSignal"": ""Industry-specific research reports"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""infiniti research ltd."", ""email"": """"}",2026-05-11T13:12:09.017477
brushers co.,"{""ICPIndustry"": ""Manufacturing"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Brushers Co."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/brushers-co"", ""ICPMarketingSignal"": ""Industry trade shows"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""brushers co."", ""email"": """"}",2026-05-11T13:12:11.161408
delamibrands,"{""ICPIndustry"": ""Consumer Goods"", ""ICPEmployeesRange"": ""51-200"", ""ICPRevenueUSD"": ""10M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Delami Brands Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/delamibrands"", ""ICPMarketingSignal"": ""Brand recognition in apparel sector"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""delamibrands"", ""email"": """"}",2026-05-11T13:12:13.491307
hdfc securities,"{""ICPIndustry"": ""Financial Services"", ""ICPEmployeesRange"": ""1001-5000"", ""ICPRevenueUSD"": ""500M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""HDFC Bank"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/hdfc-securities/"", ""ICPMarketingSignal"": ""Financial services industry presence"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""hdfc securities"", ""email"": """"}",2026-05-11T13:12:15.464752
qinghe,"{""ICPIndustry"": ""Manufacturing"", ""ICPEmployeesRange"": ""50-200"", ""ICPRevenueUSD"": ""10M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/qinghe"", ""ICPMarketingSignal"": ""Industry trade show participation"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""qinghe"", ""email"": """"}",2026-05-11T13:12:17.518587
novo nordisk,"{""ICPIndustry"": ""Pharmaceuticals"", ""ICPEmployeesRange"": ""10,000-50,000"", ""ICPRevenueUSD"": ""130B"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Novo Nordisk A/S"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/novo-nordisk/"", ""ICPMarketingSignal"": ""Global pharmaceutical leader in diabetes care"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""novo nordisk"", ""email"": """"}",2026-05-11T13:12:19.384947
eunice mok,"{""ICPIndustry"": ""N/A"", ""ICPEmployeesRange"": ""1-10"", ""ICPRevenueUSD"": ""N/A"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""N/A"", ""ICPMarketingSignal"": ""N/A"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""eunice mok"", ""email"": """"}",2026-05-11T13:12:21.189630
bathlane,"{""ICPIndustry"": ""HealthTech"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""Seed"", ""ICPFundingStage"": ""Seed"", ""ICPFUndingAmount"": ""1M"", ""ICPParentCompany"": ""Bathlane Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/bathlane"", ""ICPMarketingSignal"": ""HealthTech startup"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""bathlane"", ""email"": """"}",2026-05-11T13:12:23.087030
chaotix ai,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Chaotix Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/chaotix-ai"", ""ICPMarketingSignal"": ""AI startup funding news"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""chaotix ai"", ""email"": """"}",2026-05-11T13:12:25.076954
bharat brass & copper industries,"{""ICPIndustry"": ""Manufacturing"", ""ICPEmployeesRange"": ""100-500"", ""ICPRevenueUSD"": ""10M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/bharat-brass-copper-industries"", ""ICPMarketingSignal"": ""Industry trade shows, manufacturing equipment suppliers"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""bharat brass & copper industries"", ""email"": """"}",2026-05-11T13:12:26.815268
saxon renewables,"{""ICPIndustry"": ""Renewable Energy"", ""ICPEmployeesRange"": ""50-200"", ""ICPRevenueUSD"": ""10M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Saxon Group"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/saxon-renewables"", ""ICPMarketingSignal"": ""Renewable energy projects"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""saxon renewables"", ""email"": """"}",2026-05-11T13:12:30.214127
implora,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""Seed"", ""ICPFundingStage"": ""Early"", ""ICPFUndingAmount"": ""1M"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/implora"", ""ICPMarketingSignal"": ""Tech Startup"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""implora"", ""email"": """"}",2026-05-11T13:12:32.117300
infinity iiac,"{""ICPIndustry"": ""Financial Services"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Infinity Group"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/infinity-iiac"", ""ICPMarketingSignal"": ""Financial services conference attendee"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""infinity iiac"", ""email"": """"}",2026-05-11T13:12:53.332520
cbre,"{""ICPIndustry"": ""Real Estate"", ""ICPEmployeesRange"": ""1000-5000"", ""ICPRevenueUSD"": ""2B"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""CBRE Group, Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/cbre/"", ""ICPMarketingSignal"": ""Global real estate services"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""cbre"", ""email"": """"}",2026-05-11T13:12:55.173967
